Date,HomeTeam,AwayTeam,outcome_by_HOME,AVERAGE_ODD_WIN,AVERAGE_ODD_DRAW,AVERAGE_ODD_OPPONENT_WIN,RANKINGHOME,RANKING AWAY,LAST_GAME_RHOMETEAM,LAST_GAME_RAWAYTEAM
20/03/2016,Southampton,Liverpool,W,7.471,3.168,2.797,7,6,1,1
20/03/2016,Tottenham,Bournemouth,W,6.868,3.891,5.938,5,20,-1,1
02/04/2016,Arsenal,Watford,W,6.717,4.641,8.434,3,20,1,-1
02/04/2016,Aston Villa,Chelsea,L,10.431,4.302,2.098,17,1,1,-1
02/04/2016,Bournemouth,Man City,L,8.341,3.511,2.241,20,2,-1,-1
02/04/2016,Liverpool,Tottenham,D,7.285,3.237,2.873,6,5,-1,1
02/04/2016,Norwich,Newcastle,W,7.159,3.171,3.35,20,15,-1,-1
02/04/2016,Stoke,Swansea,D,7.254,3.168,3.418,9,8,1,1
02/04/2016,Sunderland,West Brom,D,7.174,3.136,3.674,16,13,-1,1
02/04/2016,West Ham,Crystal Palace,D,6.88,3.294,3.859,12,10,0,1
03/04/2016,Leicester,Southampton,W,7.41,3.187,3.272,14,7,-1,-1
03/04/2016,Man United,Everton,W,7.165,3.246,3.62,4,11,1,1
09/04/2016,Aston Villa,Bournemouth,L,8.362,3.369,2.305,17,20,1,1
09/04/2016,Crystal Palace,Norwich,W,7.145,3.21,3.6,10,20,0,0
09/04/2016,Man City,West Brom,W,6.935,4.603,8.796,2,13,-1,1
09/04/2016,Southampton,Newcastle,W,6.974,3.717,5.782,7,15,-1,-1
09/04/2016,Swansea,Chelsea,W,8.489,3.442,2.236,8,1,1,-1
09/04/2016,Watford,Everton,D,8.276,3.315,2.367,20,11,0,1
09/04/2016,West Ham,Arsenal,D,8.582,3.629,2.184,12,3,-1,-1
10/04/2016,Liverpool,Stoke,W,6.781,3.656,5.418,6,9,1,1
10/04/2016,Sunderland,Leicester,L,8.227,3.392,2.301,16,14,1,-1
10/04/2016,Tottenham,Man United,W,7.095,3.316,3.796,5,4,0,-1
13/04/2016,Crystal Palace,Everton,D,7.927,3.247,2.565,10,11,1,0
16/04/2016,Chelsea,Man City,L,7.972,3.283,2.702,1,2,0,1
16/04/2016,Everton,Southampton,D,7.935,3.23,2.773,11,7,-1,0
16/04/2016,Man United,Aston Villa,W,7.249,5.601,13.862,4,17,-1,-1
16/04/2016,Newcastle,Swansea,W,7.681,3.219,3.153,15,8,-1,1
16/04/2016,Norwich,Sunderland,L,7.605,3.163,3.115,20,16,-1,-1
16/04/2016,West Brom,Watford,L,7.71,3.055,3.213,13,20,1,1
17/04/2016,Arsenal,Crystal Palace,D,7.195,4.816,8.454,3,10,-1,-1
17/04/2016,Bournemouth,Liverpool,L,8.622,3.445,2.296,20,6,-1,-1
17/04/2016,Leicester,West Ham,D,7.445,3.345,3.858,14,12,-1,1
18/04/2016,Stoke,Tottenham,L,9.192,3.753,2.139,9,5,1,-1
19/04/2016,Newcastle,Man City,D,10.128,4.44,2.063,15,2,1,1
20/04/2016,Liverpool,Everton,W,6.757,3.623,4.599,6,11,1,1
20/04/2016,Man United,Crystal Palace,W,6.629,3.802,6.155,4,10,1,-1
20/04/2016,West Ham,Watford,W,6.65,3.841,5.742,12,20,1,0
21/04/2016,Arsenal,West Brom,W,6.65,5.312,11.965,3,13,1,0
23/04/2016,Aston Villa,Southampton,L,10.997,4.404,2.127,17,7,-1,1
23/04/2016,Bournemouth,Chelsea,L,8.012,3.38,2.48,20,1,-1,-1
23/04/2016,Liverpool,Newcastle,D,7.013,4.007,5.488,6,15,-1,0
23/04/2016,Man City,Stoke,W,6.868,5.01,9.228,2,9,-1,0
24/04/2016,Leicester,Swansea,W,6.946,3.419,4.906,14,8,0,0
24/04/2016,Sunderland,Arsenal,D,9.192,3.954,2.096,16,3,1,0
25/04/2016,Tottenham,West Brom,D,6.814,5.551,12.629,5,13,0,-1
30/04/2016,Arsenal,Norwich,W,6.776,5.419,11.132,3,20,1,-1
30/04/2016,Everton,Bournemouth,W,7.143,3.428,3.619,11,20,0,1
30/04/2016,Newcastle,Crystal Palace,W,7.118,3.29,3.78,15,10,1,0
30/04/2016,Stoke,Sunderland,D,7.627,3.162,2.755,9,16,1,1
30/04/2016,Watford,Aston Villa,W,6.927,3.537,4.964,20,17,-1,-1
30/04/2016,West Brom,West Ham,L,8.482,3.465,2.279,13,12,-1,1
01/05/2016,Man United,Leicester,D,7.162,3.209,3.664,4,14,-1,-1
01/05/2016,Southampton,Man City,W,7.668,3.287,2.667,7,2,1,-1
01/05/2016,Swansea,Liverpool,W,7.977,3.366,2.435,8,6,-1,1
02/05/2016,Chelsea,Tottenham,D,7.554,3.348,2.648,1,5,-1,-1
07/05/2016,Aston Villa,Newcastle,D,10.165,4.197,2.075,17,15,1,1
07/05/2016,Bournemouth,West Brom,D,7.301,3.266,4.02,20,13,1,-1
07/05/2016,Crystal Palace,Stoke,W,7.384,3.261,3.649,10,9,1,1
07/05/2016,Leicester,Everton,W,7.315,3.491,3.891,14,11,1,1
07/05/2016,Norwich,Man United,L,9.188,3.639,2.177,20,4,0,-1
07/05/2016,Sunderland,Chelsea,W,7.969,3.355,2.514,16,1,-1,0
07/05/2016,West Ham,Swansea,L,7.077,4.208,6.927,12,8,-1,1
08/05/2016,Liverpool,Watford,W,7.075,4.096,6.39,6,20,1,1
08/05/2016,Man City,Arsenal,D,7.747,3.311,2.819,2,3,-1,-1
08/05/2016,Tottenham,Southampton,L,7.349,3.408,3.681,5,7,-1,-1
10/05/2016,West Ham,Man United,W,8.099,3.38,2.497,12,4,1,-1
11/05/2016,Liverpool,Chelsea,D,7.36,3.471,3.564,6,1,1,1
11/05/2016,Norwich,Watford,W,7.118,3.454,4.286,20,20,0,0
11/05/2016,Sunderland,Everton,W,7.174,3.601,4.68,16,11,0,0
15/05/2016,Arsenal,Aston Villa,W,7.593,7.376,16.204,3,17,0,1
15/05/2016,Chelsea,Leicester,D,7.81,3.456,3.017,1,14,-1,0
15/05/2016,Everton,Norwich,W,7.383,3.692,4.117,11,20,-1,0
15/05/2016,Newcastle,Tottenham,W,9.534,3.91,2.087,15,5,1,-1
15/05/2016,Southampton,Crystal Palace,W,7.312,4.75,8.238,7,10,1,1
15/05/2016,Stoke,West Ham,W,8.666,3.537,2.307,9,12,-1,0
15/05/2016,Swansea,Man City,D,10.855,4.778,2.028,8,2,0,1
15/05/2016,Watford,Sunderland,D,7.645,3.465,3.429,20,16,1,1
15/05/2016,West Brom,Liverpool,D,7.907,3.385,2.866,13,6,-1,-1
17/05/2016,Man United,Bournemouth,W,7.295,3.742,4.753,4,20,0,-1
13/08/2016,Burnley,Swansea,L,8.477,3.158,3.001,20,12,0,0
13/08/2016,Crystal Palace,West Brom,L,8.256,3.117,3.913,15,14,0,0
13/08/2016,Everton,Tottenham,D,8.956,3.316,2.498,11,3,0,0
13/08/2016,Hull,Leicester,W,9.873,3.56,2.245,20,1,0,0
13/08/2016,Man City,Sunderland,W,8.033,5.588,11.898,4,17,0,0
13/08/2016,Middlesbrough,Stoke,D,8.481,3.099,3.213,20,9,0,0
13/08/2016,Southampton,Watford,D,8.138,3.372,4.399,6,13,0,0
14/08/2016,Arsenal,Liverpool,L,8.44,3.282,2.972,2,8,0,0
14/08/2016,Bournemouth,Man United,L,10.217,3.705,2.138,16,5,0,0
15/08/2016,Chelsea,West Ham,W,7.604,3.65,5.209,10,7,0,0
19/08/2016,Man United,Southampton,W,7.959,3.962,6.882,5,6,1,1
20/08/2016,Burnley,Liverpool,W,11.795,4.371,2.112,20,8,0,0
20/08/2016,Leicester,Arsenal,D,8.92,3.44,2.52,1,2,-1,-1
20/08/2016,Stoke,Man City,L,10.936,3.975,2.101,9,4,0,0
20/08/2016,Swansea,Hull,L,8.107,3.332,4.715,12,20,-1,-1
20/08/2016,Tottenham,Crystal Palace,W,7.974,4.092,7.115,3,15,0,-1
20/08/2016,Watford,Chelsea,L,10.846,3.885,2.135,13,10,1,1
20/08/2016,West Brom,Everton,L,8.967,3.18,2.621,14,11,1,-1
21/08/2016,Sunderland,Middlesbrough,L,8.625,3.116,2.997,17,20,1,0
21/08/2016,West Ham,Bournemouth,W,8.109,3.42,3.877,7,16,1,-1
27/08/2016,Chelsea,Burnley,W,7.768,5.204,12.004,10,20,-1,-1
27/08/2016,Crystal Palace,Bournemouth,D,8.286,3.167,3.121,15,16,1,0
27/08/2016,Everton,Stoke,W,7.842,3.477,4.819,11,9,1,-1
27/08/2016,Hull,Man United,L,12.562,4.779,2.184,20,5,1,0
27/08/2016,Leicester,Swansea,W,7.853,3.449,4.837,1,12,-1,1
27/08/2016,Southampton,Sunderland,D,7.792,3.559,5.71,6,17,-1,-1
27/08/2016,Tottenham,Liverpool,D,8.44,3.341,2.928,3,8,1,1
27/08/2016,Watford,Arsenal,L,10.482,3.95,2.119,13,2,0,-1
28/08/2016,Man City,West Ham,W,7.553,5.368,9.549,4,7,0,-1
28/08/2016,West Brom,Middlesbrough,D,8.433,3.009,3.006,14,20,1,1
10/09/2016,Arsenal,Southampton,W,8.015,3.824,5.749,2,6,-1,0
10/09/2016,Bournemouth,West Brom,W,8.277,3.099,3.903,16,14,1,0
10/09/2016,Burnley,Hull,D,8.531,3.082,3.167,20,20,1,1
10/09/2016,Liverpool,Leicester,W,8.189,3.662,5.118,8,1,0,-1
10/09/2016,Man United,Man City,L,8.62,3.162,3.224,5,4,1,0
10/09/2016,Middlesbrough,Crystal Palace,L,8.436,3.083,3.373,20,15,0,0
10/09/2016,Stoke,Tottenham,L,10.332,3.737,2.141,9,3,0,-1
10/09/2016,West Ham,Watford,L,8.176,3.318,4.213,7,13,0,-1
11/09/2016,Swansea,Chelsea,D,11.274,4.151,2.083,12,10,0,0
12/09/2016,Sunderland,Everton,L,9.459,3.462,2.283,17,11,0,0
16/09/2016,Chelsea,Liverpool,L,8.587,3.329,3.221,10,8,1,-1
17/09/2016,Everton,Middlesbrough,W,8.16,3.532,5.385,11,20,1,1
17/09/2016,Hull,Arsenal,L,11.546,4.318,2.089,20,2,0,-1
17/09/2016,Leicester,Burnley,W,7.989,3.926,7.033,1,20,-1,-1
17/09/2016,Man City,Bournemouth,W,8.01,5.402,10.657,4,16,-1,0
17/09/2016,West Brom,West Ham,W,8.691,3.145,2.784,14,7,-1,1
18/09/2016,Crystal Palace,Stoke,W,8.39,3.222,3.791,15,9,1,1
18/09/2016,Southampton,Swansea,W,8.056,3.479,5.165,6,12,0,0
18/09/2016,Tottenham,Sunderland,W,8.092,4.86,9.407,3,17,0,0
18/09/2016,Watford,Man United,W,11.4,4.277,2.083,13,5,1,-1
24/09/2016,Arsenal,Chelsea,W,8.439,3.312,3.049,2,10,-1,0
24/09/2016,Bournemouth,Everton,W,9.39,3.492,2.296,16,11,-1,-1
24/09/2016,Liverpool,Hull,W,8.071,5.981,12.736,8,20,-1,1
24/09/2016,Man United,Leicester,W,8.191,3.631,4.933,5,1,1,1
24/09/2016,Middlesbrough,Tottenham,L,9.558,3.52,2.254,20,3,-1,1
24/09/2016,Stoke,West Brom,D,8.385,3.172,3.203,9,14,-1,1
24/09/2016,Sunderland,Crystal Palace,L,8.871,3.222,2.685,17,15,-1,1
24/09/2016,Swansea,Man City,L,13.501,5.598,2.176,12,4,-1,1
25/09/2016,West Ham,Southampton,L,8.849,3.255,2.707,7,6,0,1
26/09/2016,Burnley,Watford,W,8.573,3.202,2.685,20,13,1,-1
30/09/2016,Everton,Crystal Palace,D,7.875,3.61,4.688,11,15,0,-1
01/10/2016,Hull,Chelsea,L,12.392,4.815,2.108,20,10,0,-1
01/10/2016,Sunderland,West Brom,D,8.472,3.128,3.093,17,14,1,-1
01/10/2016,Swansea,Liverpool,L,12.853,5.102,2.116,12,8,-1,1
01/10/2016,Watford,Bournemouth,D,8.398,3.174,3.207,13,16,-1,0
01/10/2016,West Ham,Middlesbrough,D,8.284,3.249,3.391,7,20,0,1
02/10/2016,Burnley,Arsenal,L,13.944,5.482,2.24,20,2,1,-1
02/10/2016,Leicester,Southampton,D,8.29,3.232,3.376,1,6,1,0
02/10/2016,Man United,Stoke,D,7.977,4.979,9.229,5,9,1,-1
02/10/2016,Tottenham,Man City,W,9.067,3.425,2.478,3,4,1,0
15/10/2016,Arsenal,Swansea,W,7.235,5.483,10.547,2,12,-1,1
15/10/2016,Bournemouth,Hull,W,7.354,3.334,4.5,16,20,-1,-1
15/10/2016,Chelsea,Leicester,W,7.359,3.894,5.672,10,1,0,1
15/10/2016,Crystal Palace,West Ham,L,7.569,3.3,3.489,15,7,1,-1
15/10/2016,Man City,Everton,D,7.215,4.261,6.305,4,11,-1,0
15/10/2016,Stoke,Sunderland,W,7.471,3.326,3.828,9,17,0,-1
15/10/2016,West Brom,Tottenham,D,10.082,3.917,2.131,14,3,-1,0
16/10/2016,Middlesbrough,Watford,L,7.654,3.116,3.393,20,13,1,1
16/10/2016,Southampton,Burnley,W,7.161,4.341,8.64,6,20,1,1
17/10/2016,Liverpool,Man United,D,7.491,3.288,3.398,8,5,-1,1
22/10/2016,Arsenal,Middlesbrough,D,7.774,5.587,11.741,2,20,-1,-1
22/10/2016,Bournemouth,Tottenham,D,9.745,3.633,2.2,16,3,1,0
22/10/2016,Burnley,Everton,W,11.073,4.055,2.153,20,11,0,-1
22/10/2016,Hull,Stoke,L,8.795,3.253,2.598,20,9,1,0
22/10/2016,Leicester,Crystal Palace,W,8.053,3.267,3.735,1,15,1,1
22/10/2016,Liverpool,West Brom,W,7.786,5.43,10.65,8,14,0,0
22/10/2016,Swansea,Watford,D,8.268,3.216,3.202,12,13,0,1
22/10/2016,West Ham,Sunderland,W,7.859,3.627,4.983,7,17,-1,0
23/10/2016,Chelsea,Man United,W,8.178,3.174,3.47,10,5,-1,-1
23/10/2016,Man City,Southampton,D,7.772,4.143,6.42,4,6,0,1
29/10/2016,Crystal Palace,Liverpool,L,10.617,4.07,2.098,15,8,1,-1
29/10/2016,Man United,Burnley,D,7.917,6.01,15.533,5,20,-1,-1
29/10/2016,Middlesbrough,Bournemouth,W,8.616,3.064,3.085,20,16,0,-1
29/10/2016,Sunderland,Arsenal,L,13.4,5.46,2.138,17,2,-1,1
29/10/2016,Tottenham,Leicester,D,8.054,3.704,5.302,3,1,1,-1
29/10/2016,Watford,Hull,W,8.083,3.45,4.913,13,20,1,1
29/10/2016,West Brom,Man City,L,12.751,4.997,2.138,14,4,-1,0
30/10/2016,Everton,West Ham,W,8.148,3.571,4.336,11,7,0,0
30/10/2016,Southampton,Chelsea,L,9.137,3.338,2.479,6,10,1,1
31/10/2016,Stoke,Swansea,W,7.956,3.385,3.647,9,12,-1,1
05/11/2016,Bournemouth,Sunderland,L,7.497,3.741,5.23,16,17,-1,0
05/11/2016,Burnley,Crystal Palace,W,8.655,3.292,2.473,20,15,-1,0
05/11/2016,Chelsea,Everton,W,7.335,3.89,6.048,10,11,0,-1
05/11/2016,Man City,Middlesbrough,D,7.507,6.138,13.306,4,20,-1,-1
05/11/2016,West Ham,Stoke,D,7.718,3.338,3.736,7,9,1,1
06/11/2016,Arsenal,Tottenham,D,7.677,3.326,3.921,2,3,1,1
06/11/2016,Hull,Southampton,W,10.498,3.99,2.124,20,6,1,1
06/11/2016,Leicester,West Brom,L,7.539,3.367,4.824,1,14,-1,1
06/11/2016,Liverpool,Watford,W,7.456,5.349,10.615,8,13,0,-1
06/11/2016,Swansea,Man United,L,10.084,4.051,2.082,12,5,1,-1
19/11/2016,Crystal Palace,Man City,L,11.27,4.635,2.054,15,4,-1,0
19/11/2016,Everton,Swansea,D,7.568,3.874,5.727,11,12,1,1
19/11/2016,Man United,Arsenal,D,8.238,3.239,2.872,5,2,0,-1
19/11/2016,Southampton,Liverpool,D,8.913,3.514,2.341,6,8,-1,-1
19/11/2016,Stoke,Bournemouth,L,8,3.253,3.303,9,16,0,-1
19/11/2016,Sunderland,Hull,W,7.786,3.186,3.6,17,20,-1,1
19/11/2016,Tottenham,West Ham,W,7.548,4.052,6.322,3,7,-1,1
19/11/2016,Watford,Leicester,W,8.408,3.211,2.732,13,1,1,1
20/11/2016,Middlesbrough,Chelsea,L,11.325,4.453,2.11,20,10,-1,1
21/11/2016,West Brom,Burnley,W,7.634,3.206,4.254,14,20,1,0
26/11/2016,Burnley,Man City,L,13.4,6.299,2.247,20,4,-1,1
26/11/2016,Chelsea,Tottenham,W,7.104,3.522,4.679,10,3,0,0
26/11/2016,Hull,West Brom,D,8.14,3.184,2.62,20,14,0,-1
26/11/2016,Leicester,Middlesbrough,D,7.267,3.344,4.269,1,20,1,1
26/11/2016,Liverpool,Sunderland,W,7.329,7.015,15.282,8,17,1,1
26/11/2016,Swansea,Crystal Palace,W,7.801,3.226,2.864,12,15,-1,-1
27/11/2016,Arsenal,Bournemouth,W,7.086,4.571,7.49,2,16,-1,1
27/11/2016,Man United,West Ham,D,7.202,4.206,6.734,5,7,-1,0
27/11/2016,Southampton,Everton,W,7.358,3.213,3.497,6,11,0,0
27/11/2016,Watford,Stoke,L,7.636,3.186,3.118,13,9,1,-1
03/12/2016,Crystal Palace,Southampton,W,8.051,3.353,2.421,15,6,-1,-1
03/12/2016,Man City,Chelsea,L,7.121,3.34,3.462,4,10,0,1
03/12/2016,Stoke,Burnley,W,6.789,3.654,5.651,9,20,-1,-1
03/12/2016,Sunderland,Leicester,W,8.018,3.338,2.431,17,1,1,1
03/12/2016,Tottenham,Swansea,W,6.726,4.858,8.565,3,12,-1,-1
03/12/2016,West Brom,Watford,W,7.124,3.161,3.558,14,13,1,1
03/12/2016,West Ham,Arsenal,L,9.293,4.082,2.089,7,2,1,0
04/12/2016,Bournemouth,Liverpool,W,9.238,4.011,2.081,16,8,-1,-1
04/12/2016,Everton,Man United,D,8.273,3.468,2.309,11,5,1,1
05/12/2016,Middlesbrough,Hull,W,6.757,3.319,4.757,20,20,-1,1
10/12/2016,Arsenal,Stoke,W,7.305,4.765,8.22,2,9,0,1
10/12/2016,Burnley,Bournemouth,W,8.612,3.402,2.404,20,16,0,0
10/12/2016,Hull,Crystal Palace,D,8.573,3.324,2.472,20,15,0,0
10/12/2016,Leicester,Man City,W,10.015,4.072,2.089,1,4,-1,-1
10/12/2016,Swansea,Sunderland,W,7.704,3.295,3.41,12,17,-1,1
10/12/2016,Watford,Everton,W,8.254,3.312,2.529,13,11,-1,0
11/12/2016,Chelsea,West Brom,W,7.202,5.427,11.604,10,14,1,0
11/12/2016,Liverpool,West Ham,D,7.238,5.358,9.652,8,7,0,0
11/12/2016,Man United,Tottenham,W,7.481,3.236,3.398,5,3,-1,1
11/12/2016,Southampton,Middlesbrough,W,7.138,3.429,5.497,6,20,0,1
13/12/2016,Bournemouth,Leicester,W,7.657,3.301,3.02,16,1,1,0
13/12/2016,Everton,Arsenal,W,9.097,3.755,2.164,11,2,0,0
14/12/2016,Crystal Palace,Man United,L,9.782,4.09,2.093,15,5,-1,-1
14/12/2016,Man City,Watford,W,7.127,5.714,10.649,4,13,-1,0
14/12/2016,Middlesbrough,Liverpool,L,10.538,4.407,2.086,20,8,-1,1
14/12/2016,Stoke,Southampton,D,8.178,3.224,2.556,9,6,0,1
14/12/2016,Sunderland,Chelsea,L,13.472,5.945,2.25,17,10,0,1
14/12/2016,Tottenham,Hull,W,7.147,5.769,12.39,3,20,-1,0
14/12/2016,West Brom,Swansea,W,7.367,3.28,3.735,14,12,0,1
14/12/2016,West Ham,Burnley,W,7.036,3.7,5.141,7,20,1,-1
17/12/2016,Crystal Palace,Chelsea,L,10.883,4.387,2.078,15,10,-1,-1
17/12/2016,Middlesbrough,Swansea,W,7.511,3.246,3.684,20,12,0,1
17/12/2016,Stoke,Leicester,D,8.23,3.246,2.871,9,1,-1,0
17/12/2016,Sunderland,Watford,W,8.241,3.187,2.889,17,13,1,-1
17/12/2016,West Brom,Man United,L,10.515,3.881,2.147,14,5,-1,-1
17/12/2016,West Ham,Hull,W,7.369,3.712,5.273,7,20,0,1
18/12/2016,Bournemouth,Southampton,L,8.233,3.227,2.67,16,6,0,1
18/12/2016,Man City,Arsenal,W,7.715,3.376,3.357,4,2,-1,0
18/12/2016,Tottenham,Burnley,W,7.528,6.143,13.036,3,20,1,0
19/12/2016,Everton,Liverpool,L,8.907,3.691,2.189,11,8,1,1
26/12/2016,Arsenal,West Brom,W,7.302,4.83,8.956,2,14,0,0
26/12/2016,Burnley,Middlesbrough,W,8.363,3.11,2.663,20,20,1,1
26/12/2016,Chelsea,Bournemouth,W,7.424,4.455,7.944,10,16,1,1
26/12/2016,Hull,Man City,L,13.828,6.165,2.235,20,4,-1,1
26/12/2016,Leicester,Everton,L,8.145,3.238,2.941,1,11,-1,-1
26/12/2016,Man United,Sunderland,W,7.502,5.733,13.112,5,17,0,-1
26/12/2016,Swansea,West Ham,L,8.285,3.24,2.746,12,7,-1,1
26/12/2016,Watford,Crystal Palace,D,8.007,3.201,2.97,13,15,-1,-1
27/12/2016,Liverpool,Stoke,W,7.113,5.103,9.472,8,9,0,-1
28/12/2016,Southampton,Tottenham,L,7.782,3.207,2.618,6,3,1,1
30/12/2016,Hull,Everton,D,9.419,3.556,2.216,20,11,-1,0
31/12/2016,Burnley,Sunderland,W,7.858,3.155,3.154,20,17,0,1
31/12/2016,Chelsea,Stoke,W,7.453,5.421,11.535,10,9,1,1
31/12/2016,Leicester,West Ham,W,7.539,3.357,3.525,1,7,-1,0
31/12/2016,Liverpool,Man City,W,7.86,3.369,2.996,8,4,-1,0
31/12/2016,Man United,Middlesbrough,W,7.327,5.341,13.473,5,20,0,1
31/12/2016,Southampton,West Brom,L,7.399,3.356,5.012,6,14,-1,-1
31/12/2016,Swansea,Bournemouth,L,8.19,3.357,2.62,12,16,0,1
01/01/2017,Arsenal,Crystal Palace,W,7.293,5.04,8.829,2,15,-1,1
01/01/2017,Watford,Tottenham,L,10.355,4.024,2.112,13,3,-1,1
02/01/2017,Everton,Southampton,W,7.836,3.194,3.375,11,6,1,-1
02/01/2017,Man City,Burnley,W,7.784,7.142,15.901,4,20,0,-1
02/01/2017,Middlesbrough,Leicester,D,8.188,3.095,2.855,20,1,0,0
02/01/2017,Sunderland,Liverpool,D,13.731,5.828,2.266,17,8,1,-1
02/01/2017,West Brom,Hull,W,7.402,3.386,4.992,14,20,-1,-1
02/01/2017,West Ham,Man United,L,10.529,4.169,2.094,7,5,-1,0
03/01/2017,Bournemouth,Arsenal,D,9.561,3.805,2.123,16,2,1,1
03/01/2017,Crystal Palace,Swansea,L,7.337,3.394,4.501,15,12,1,1
03/01/2017,Stoke,Watford,W,7.733,3.309,4.143,9,13,0,0
04/01/2017,Tottenham,Chelsea,W,7.861,3.27,2.63,3,10,-1,1
14/01/2017,Burnley,Southampton,W,8.603,3.35,2.382,20,6,-1,-1
14/01/2017,Hull,Bournemouth,W,8.432,3.436,2.401,20,16,0,1
14/01/2017,Leicester,Chelsea,L,10.466,4.152,2.118,1,10,-1,1
14/01/2017,Sunderland,Stoke,L,8.101,3.307,2.574,17,9,1,1
14/01/2017,Swansea,Arsenal,L,11.14,4.831,2.061,12,2,-1,1
14/01/2017,Tottenham,West Brom,W,7.056,4.817,9.89,3,14,1,0
14/01/2017,Watford,Middlesbrough,D,7.8,3.092,3.1,13,20,-1,-1
14/01/2017,West Ham,Crystal Palace,W,7.617,3.228,3.119,7,15,-1,1
15/01/2017,Everton,Man City,W,9.486,3.891,2.123,11,4,-1,1
15/01/2017,Man United,Liverpool,D,7.687,3.193,3.476,5,8,0,0
21/01/2017,Bournemouth,Watford,D,7.483,3.466,4.244,16,13,1,1
21/01/2017,Crystal Palace,Everton,L,8.476,3.361,2.457,15,11,-1,-1
21/01/2017,Liverpool,Swansea,L,7.436,6.291,12.94,8,12,0,0
21/01/2017,Man City,Tottenham,D,7.682,3.316,3.456,4,3,0,-1
21/01/2017,Middlesbrough,West Ham,L,7.904,3.1,3.117,20,7,0,1
21/01/2017,Stoke,Man United,D,10.582,4.295,2.09,9,5,1,0
21/01/2017,West Brom,Sunderland,W,7.392,3.545,5.164,14,17,-1,1
22/01/2017,Arsenal,Burnley,W,7.401,6.414,14.201,2,20,0,0
22/01/2017,Chelsea,Hull,W,7.492,7.001,15.838,10,20,1,0
22/01/2017,Southampton,Leicester,W,7.363,3.291,4.54,6,1,-1,-1
31/01/2017,Arsenal,Watford,L,7.364,6.015,12.535,2,13,-1,1
31/01/2017,Bournemouth,Crystal Palace,L,7.646,3.306,3.568,16,15,0,0
31/01/2017,Burnley,Leicester,W,7.974,3.203,2.698,20,1,1,1
31/01/2017,Liverpool,Chelsea,D,7.915,3.196,2.887,8,10,-1,-1
31/01/2017,Middlesbrough,West Brom,D,7.946,3.01,2.971,20,14,-1,1
